n_neurons_l0,activation_l0,alpha_l0,dropout_l0,n_layers,n_neurons_l1,activation_l1,dropout_l1,n_neurons_l2,activation_l2,dropout_l2,lr,optimizer,batch_size,value,n_params,trial_number,alpha_l1,alpha_l2,n_neurons_l3,activation_l3,dropout_l3,n_neurons_l4,activation_l4,dropout_l4,alpha_l3,n_neurons_l5,activation_l5,alpha_l5,dropout_l5,n_neurons_l6,activation_l6,dropout_l6,n_neurons_l7,activation_l7,dropout_l7,alpha_l4,alpha_l6,alpha_l7
227,leaky_relu,0.02,0.277,6,506,relu,0.14,137,selu,0.44,0.0007000000000000001,RMSprop,435,0.999413788318634,,92,,,630.0,leaky_relu,0.003,388.0,leaky_relu,0.298,0.19,125.0,elu,,0.209,,,,,,,0.06999999999999999,,
251,tanh,,0.035,7,618,leaky_relu,0.165,249,tanh,0.352,0.00030000000000000003,RMSprop,495,0.9992613792419434,,93,0.16,,366.0,leaky_relu,0.215,721.0,relu,0.373,0.13,56.0,tanh,,0.041,677.0,relu,0.41000000000000003,,,,,,
256,tanh,,0.246,6,465,relu,0.058,315,elu,0.487,0.0012000000000000001,RMSprop,463,0.9979482889175415,,94,,,562.0,elu,0.158,534.0,selu,0.40900000000000003,,420.0,swish,,0.169,,,,,,,,,
247,relu,,0.213,6,528,swish,0.032,370,relu,0.401,0.0001,RMSprop,31,0.9992731213569641,,95,,,217.0,leaky_relu,0.247,592.0,leaky_relu,0.252,0.16,166.0,selu,,0.381,,,,,,,0.26,,
143,leaky_relu,0.19,0.264,3,420,leaky_relu,0.34400000000000003,271,relu,0.132,0.006600000000000001,RMSprop,278,0.9444901538708551,,96,0.12,,,,,,,,,,,,,,,,,,,,,
236,leaky_relu,0.26,0.299,5,359,relu,0.267,890,leaky_relu,0.317,0.0021,RMSprop,361,0.9993786215782166,,97,,0.17,435.0,relu,0.28300000000000003,654.0,elu,0.357,,,,,,,,,,,,,,
215,swish,,0.342,6,452,selu,0.124,281,elu,0.339,0.0009000000000000001,Adam,406,0.9992848634719849,,98,,,607.0,selu,0.188,801.0,relu,0.436,,957.0,swish,,0.006,,,,,,,,,
229,selu,,0.256,8,739,elu,0.10200000000000001,972,swish,0.303,0.0068000000000000005,RMSprop,243,0.4987572431564331,,99,,,478.0,leaky_relu,0.132,611.0,swish,0.463,0.25,100.0,relu,,0.035,521.0,swish,0.453,983.0,tanh,0.266,,,
242,elu,,0.385,5,309,tanh,0.192,397,elu,0.243,0.0006000000000000001,RMSprop,338,0.9990386366844177,,100,,,733.0,tanh,0.241,414.0,elu,0.384,,,,,,,,,,,,,,
199,selu,,0.459,6,574,tanh,0.078,351,swish,0.202,0.00030000000000000003,RMSprop,145,0.9993786215782166,,101,,,9.0,tanh,0.40900000000000003,981.0,leaky_relu,0.153,,638.0,leaky_relu,0.09,0.078,,,,,,,0.01,,
256,tanh,,0.005,3,625,tanh,0.012,12,leaky_relu,0.226,0.0088,RMSprop,125,0.946147497268791,,102,,0.01,,,,,,,,,,,,,,,,,,,,
223,selu,,0.29,6,491,tanh,0.151,483,swish,0.41100000000000003,0.001,RMSprop,60,0.9993317127227783,,103,,,128.0,tanh,0.26,723.0,leaky_relu,0.015,,23.0,leaky_relu,0.18000000000000002,0.108,,,,,,,0.18000000000000002,,
33,tanh,,0.059000000000000004,3,995,tanh,0.006,16,leaky_relu,0.127,0.0037,Adam,445,0.9995661973953247,,104,,0.01,,,,,,,,,,,,,,,,,,,,
67,tanh,,0.406,3,844,tanh,0.139,238,leaky_relu,0.231,0.0086,RMSprop,317,0.999413788318634,,105,,0.01,,,,,,,,,,,,,,,,,,,,
179,selu,,0.373,6,143,tanh,0.089,539,swish,0.464,0.0006000000000000001,RMSprop,119,0.9995545148849487,,106,,,39.0,tanh,0.157,944.0,leaky_relu,0.209,,537.0,leaky_relu,0.25,0.483,,,,,,,0.22,,
254,tanh,,0.279,4,297,tanh,0.23600000000000002,7,leaky_relu,0.107,0.006200000000000001,Adam,196,0.9987103343009949,,107,,0.29000000000000004,791.0,tanh,0.136,,,,,,,,,,,,,,,,,
171,selu,,0.369,6,141,tanh,0.095,230,swish,0.458,0.0016,RMSprop,454,0.9994606971740723,,108,,,82.0,tanh,0.157,858.0,leaky_relu,0.221,,754.0,leaky_relu,0.3,0.47500000000000003,,,,,,,0.25,,
158,tanh,,0.337,7,95,tanh,0.113,552,swish,0.47500000000000003,0.0006000000000000001,RMSprop,199,0.9992379546165466,,109,,,572.0,tanh,0.218,667.0,leaky_relu,0.17500000000000002,,724.0,swish,,0.417,168.0,elu,0.373,,,,0.21000000000000002,,
147,selu,,0.312,6,538,relu,0.066,88,swish,0.429,0.0013000000000000002,RMSprop,112,0.9993082880973816,,110,,,183.0,leaky_relu,0.113,876.0,leaky_relu,0.12,0.09,539.0,leaky_relu,0.25,0.447,,,,,,,0.15000000000000002,,
122,swish,,0.21,3,794,relu,0.084,311,leaky_relu,0.149,0.0083,Adam,94,0.8937670439606152,,111,,0.09,,,,,,,,,,,,,,,,,,,,
176,tanh,,0.109,6,15,leaky_relu,0.05,499,elu,0.439,0.0001,RMSprop,511,0.9986986517906189,,112,0.09999999999999999,,380.0,tanh,0.089,636.0,leaky_relu,0.342,,595.0,swish,,0.496,,,,,,,0.23,,
165,selu,,0.41100000000000003,6,187,tanh,0.134,787,swish,0.217,0.0008,Adam,260,0.9991910457611084,,113,,,49.0,leaky_relu,0.196,954.0,selu,0.32,0.2,869.0,swish,,0.393,,,,,,,,,
114,tanh,,0.008,3,469,selu,0.002,340,elu,0.185,0.005,Adam,129,0.9993903636932373,,114,,,,,,,,,,,,,,,,,,,,,,
188,leaky_relu,0.19,0.379,7,963,relu,0.216,419,tanh,0.329,0.0005,RMSprop,168,0.9995310306549072,,115,,,527.0,swish,0.148,470.0,relu,0.302,,333.0,leaky_relu,0.13,0.057,754.0,elu,0.274,,,,,,
186,leaky_relu,0.17,0.326,7,944,relu,0.219,423,tanh,0.327,0.0017000000000000001,RMSprop,91,0.9995545148849487,,116,,,504.0,elu,0.274,470.0,tanh,0.27,,362.0,elu,,0.066,762.0,elu,0.289,,,,,,
189,leaky_relu,0.17,0.328,7,1019,relu,0.252,427,tanh,0.372,0.001,RMSprop,63,0.9995545148849487,,117,,,521.0,swish,0.145,450.0,tanh,0.233,,344.0,elu,,0.07100000000000001,767.0,elu,0.269,,,,,,
185,leaky_relu,0.18000000000000002,0.323,7,966,relu,0.228,417,tanh,0.366,0.001,RMSprop,67,0.9993669390678406,,118,,,501.0,swish,0.145,488.0,tanh,0.221,,329.0,elu,,0.069,763.0,elu,0.28600000000000003,,,,,,
181,leaky_relu,0.13,0.372,7,1022,relu,0.251,451,tanh,0.392,0.0005,RMSprop,99,0.9994021058082581,,119,,,540.0,swish,0.167,352.0,tanh,0.262,,392.0,elu,,0.024,909.0,elu,0.248,,,,,,
228,relu,,0.101,4,601,leaky_relu,0.101,132,tanh,0.327,0.0084,RMSprop,90,0.9982061982154846,,120,0.13,,155.0,swish,0.224,,,,,,,,,,,,,,,,,
194,leaky_relu,0.19,0.329,7,958,relu,0.211,379,tanh,0.188,0.0018000000000000002,RMSprop,89,0.9989800453186035,,121,,,524.0,swish,0.123,468.0,tanh,0.20400000000000001,,272.0,elu,,0.05,737.0,elu,0.316,,,,,,
188,leaky_relu,0.23,0.29,8,864,relu,0.293,428,tanh,0.377,0.0014000000000000002,RMSprop,63,0.998956561088562,,122,,,659.0,elu,0.15,526.0,tanh,0.241,,232.0,elu,,0.066,672.0,elu,0.25,314.0,relu,0.489,,,
179,leaky_relu,0.17,0.34700000000000003,7,920,relu,0.211,327,tanh,0.40800000000000003,0.0007000000000000001,RMSprop,53,0.999413788318634,,123,,,464.0,swish,0.296,402.0,tanh,0.306,,310.0,elu,,0.098,595.0,elu,0.221,,,,,,
96,swish,,0.313,7,391,selu,0.122,485,selu,0.383,0.0016,RMSprop,219,0.7369547923188613,,124,,,500.0,elu,0.114,134.0,elu,0.342,,472.0,tanh,,0.08600000000000001,560.0,relu,0.364,,,,,,
212,relu,,0.171,7,673,leaky_relu,0.039,248,tanh,0.28300000000000003,0.0091,RMSprop,12,0.5008206963539124,,125,0.3,,377.0,selu,0.326,1017.0,swish,0.494,,587.0,swish,,0.47400000000000003,1003.0,leaky_relu,0.396,,,,,0.26,
207,leaky_relu,0.13,0.426,7,937,relu,0.24,494,tanh,0.323,0.00030000000000000003,RMSprop,75,0.9993434548377991,,126,,,598.0,elu,0.222,447.0,tanh,0.209,,429.0,elu,,0.126,531.0,elu,0.34,,,,,,
168,relu,,0.051000000000000004,5,526,tanh,0.063,588,leaky_relu,0.25,0.0067,RMSprop,106,0.9990972876548767,,127,,0.13,128.0,selu,0.431,299.0,elu,0.20500000000000002,,,,,,,,,,,,,,
170,leaky_relu,0.21000000000000002,0.396,7,999,relu,0.016,399,tanh,0.28300000000000003,0.0009000000000000001,Adam,21,0.9987689852714539,,128,,,501.0,swish,0.193,577.0,tanh,0.40800000000000003,,362.0,tanh,,0.022,815.0,elu,0.159,,,,,,
253,elu,,0.129,3,655,selu,0.133,400,elu,0.209,0.0093,RMSprop,204,0.9993551969528198,,129,,,,,,,,,,,,,,,,,,,,,,
118,leaky_relu,0.15000000000000002,0.306,7,999,relu,0.331,457,tanh,0.34700000000000003,0.0016,RMSprop,101,0.9991910457611084,,130,,,628.0,swish,0.267,360.0,relu,0.279,,279.0,leaky_relu,0.13,0.47600000000000003,920.0,swish,0.28,,,,,,
134,leaky_relu,0.01,0.203,4,776,relu,0.178,773,selu,0.359,0.0081,RMSprop,127,0.9992379546165466,,131,,,407.0,swish,0.268,,,,,,,,,,,,,,,,,
151,leaky_relu,0.25,0.273,7,1008,relu,0.29,595,tanh,0.035,0.0005,RMSprop,44,0.999472439289093,,132,,,914.0,elu,0.169,542.0,tanh,0.178,,131.0,relu,,0.065,629.0,elu,0.323,,,,,,
252,leaky_relu,0.19,0.354,7,896,relu,0.381,531,tanh,0.333,0.0011,RMSprop,468,0.9995310306549072,,133,,,330.0,swish,0.244,482.0,leaky_relu,0.291,,381.0,selu,,0.366,930.0,relu,0.198,,,,0.29000000000000004,,
42,leaky_relu,0.11,0.358,3,932,relu,0.468,355,selu,0.303,0.0013000000000000002,RMSprop,164,0.9990738034248352,,134,,,,,,,,,,,,,,,,,,,,,,
253,tanh,,0.34900000000000003,8,890,relu,0.41600000000000004,527,leaky_relu,0.49,0.0011,RMSprop,483,0.9990386366844177,,135,,0.09999999999999999,416.0,elu,0.241,616.0,leaky_relu,0.23600000000000002,,491.0,selu,,0.362,950.0,relu,0.098,743.0,elu,0.20400000000000001,0.060000000000000005,,
191,relu,,0.379,6,955,relu,0.088,292,elu,0.271,0.0007000000000000001,RMSprop,133,0.7307983896124288,,136,,,538.0,swish,0.275,432.0,elu,0.268,,81.0,swish,,0.41500000000000004,,,,,,,,,
240,relu,,0.329,7,900,relu,0.387,284,elu,0.257,0.0019000000000000002,RMSprop,135,0.9992496967315674,,137,,,566.0,swish,0.28200000000000003,433.0,elu,0.252,,73.0,swish,,0.417,1023.0,relu,0.2,,,,,,
176,relu,,0.376,4,983,relu,0.08700000000000001,431,elu,0.271,0.00030000000000000003,RMSprop,114,0.9995896816253662,,138,,,530.0,swish,0.134,,,,,,,,,,,,,,,,,
195,relu,,0.23800000000000002,4,989,relu,0.069,252,elu,0.274,0.0087,RMSprop,118,0.9990620613098145,,139,,,460.0,swish,0.20600000000000002,,,,,,,,,,,,,,,,,
175,relu,,0.402,3,854,relu,0.055,386,elu,0.224,0.00030000000000000003,Adam,93,0.9993903636932373,,140,,,,,,,,,,,,,,,,,,,,,,
165,relu,,0.22,3,940,elu,0.041,320,elu,0.294,0.0007000000000000001,RMSprop,114,0.9995310306549072,,141,,,,,,,,,,,,,,,,,,,,,,
183,relu,,0.261,4,979,swish,0.097,473,elu,0.251,0.0001,RMSprop,78,0.9990034699440002,,142,,,582.0,swish,0.274,,,,,,,,,,,,,,,,,
160,relu,,0.222,3,951,elu,0.036000000000000004,315,elu,0.268,0.0008,RMSprop,112,0.9995779395103455,,143,,,,,,,,,,,,,,,,,,,,,,
204,relu,,0.281,3,1023,elu,0.083,306,elu,0.268,0.0008,RMSprop,127,0.9994958639144897,,144,,,,,,,,,,,,,,,,,,,,,,
140,relu,,0.199,3,236,selu,0.024,264,elu,0.457,0.00030000000000000003,RMSprop,142,0.999413788318634,,145,,,,,,,,,,,,,,,,,,,,,,
161,relu,,0.243,4,952,elu,0.062,339,elu,0.274,0.0006000000000000001,RMSprop,108,0.9994021058082581,,146,,,506.0,leaky_relu,0.302,,,,0.17,,,,,,,,,,,,,
168,relu,,0.229,3,819,elu,0.088,222,elu,0.46900000000000003,0.0044,RMSprop,427,0.9994841814041138,,147,,,,,,,,,,,,,,,,,,,,,,
178,relu,,0.267,3,788,relu,0.001,441,elu,0.394,0.001,RMSprop,155,0.9994021058082581,,148,,,,,,,,,,,,,,,,,,,,,,
192,tanh,,0.183,6,917,relu,0.034,404,relu,0.24,0.0004,RMSprop,397,0.9994606971740723,,149,,,547.0,relu,0.322,515.0,elu,0.433,,36.0,swish,,0.457,,,,,,,,,
155,swish,,0.392,4,979,relu,0.11,198,elu,0.29,0.0008,RMSprop,91,0.9994489550590515,,150,,,442.0,selu,0.12,,,,,,,,,,,,,,,,,
246,elu,,0.252,6,426,relu,0.048,362,elu,0.419,0.0001,Adam,458,0.999085545539856,,151,,,476.0,leaky_relu,0.185,240.0,elu,0.188,0.06999999999999999,190.0,elu,,0.484,,,,,,,,,
183,tanh,,0.298,6,410,leaky_relu,0.076,171,elu,0.214,0.0014000000000000002,RMSprop,446,0.9993082880973816,,152,0.23,,617.0,swish,0.227,313.0,elu,0.362,,117.0,swish,,0.427,,,,,,,,,
189,relu,,0.377,7,954,relu,0.357,422,tanh,0.355,0.0005,RMSprop,34,0.9994372725486755,,153,,,524.0,swish,0.136,462.0,relu,0.261,,86.0,leaky_relu,0.25,0.41000000000000003,728.0,elu,0.454,,,,,,
148,swish,,0.177,7,238,elu,0.332,209,elu,0.186,0.0029,RMSprop,80,0.7430949231146302,,154,,,607.0,leaky_relu,0.371,144.0,elu,0.442,0.26,544.0,leaky_relu,0.22,0.109,846.0,selu,0.389,,,,,,
160,relu,,0.217,3,927,elu,0.038,323,elu,0.292,0.0007000000000000001,RMSprop,112,0.9994958639144897,,155,,,,,,,,,,,,,,,,,,,,,,
174,tanh,,0.384,6,974,relu,0.184,374,elu,0.23700000000000002,0.0005,RMSprop,128,0.9995193481445312,,156,,,545.0,swish,0.15,415.0,swish,0.269,,441.0,swish,,0.123,,,,,,,,,
203,selu,,0.362,7,934,elu,0.231,83,swish,0.149,0.0013000000000000002,RMSprop,325,0.9994958639144897,,157,,,241.0,tanh,0.101,7.0,leaky_relu,0.362,,21.0,relu,,0.012,578.0,swish,0.276,,,,0.01,,
198,leaky_relu,0.17,0.362,6,869,relu,0.167,290,tanh,0.327,0.00030000000000000003,RMSprop,57,0.9994021058082581,,158,,,529.0,swish,0.096,377.0,elu,0.331,,39.0,swish,,0.435,,,,,,,,,
185,tanh,,0.32,5,1000,relu,0.068,408,elu,0.31,0.001,RMSprop,158,0.9994489550590515,,159,,,494.0,leaky_relu,0.171,500.0,selu,0.402,0.15000000000000002,,,,,,,,,,,,,
235,swish,,0.271,3,340,tanh,0.097,220,elu,0.088,0.0031,RMSprop,198,0.9995076060295105,,160,,,,,,,,,,,,,,,,,,,,,,
165,relu,,0.221,3,941,elu,0.277,347,elu,0.263,0.0007000000000000001,RMSprop,480,0.9995661973953247,,161,,,,,,,,,,,,,,,,,,,,,,
169,relu,,0.15,3,384,elu,0.31,240,elu,0.253,0.0012000000000000001,RMSprop,496,0.9504482868993891,,162,,,,,,,,,,,,,,,,,,,,,,
167,relu,,0.151,3,502,elu,0.271,354,elu,0.257,0.0012000000000000001,RMSprop,492,0.9993786215782166,,163,,,,,,,,,,,,,,,,,,,,,,
217,tanh,,0.099,4,191,leaky_relu,0.05,507,tanh,0.297,0.0091,Adam,445,0.9991324543952942,,164,0.13,,698.0,leaky_relu,0.34600000000000003,,,,0.01,,,,,,,,,,,,,
171,relu,,0.163,3,452,elu,0.305,307,elu,0.229,0.0025,RMSprop,475,0.9325493683314168,,165,,,,,,,,,,,,,,,,,,,,,,
156,relu,,0.135,3,842,elu,0.323,298,elu,0.261,0.0021,RMSprop,484,0.999542772769928,,166,,,,,,,,,,,,,,,,,,,,,,
173,relu,,0.121,3,394,elu,0.305,238,elu,0.249,0.0007000000000000001,RMSprop,472,0.999472439289093,,167,,,,,,,,,,,,,,,,,,,,,,
126,selu,,0.169,5,623,selu,0.027,987,leaky_relu,0.034,0.0097,RMSprop,232,0.976270318031311,,168,,0.09999999999999999,438.0,elu,0.453,192.0,selu,0.219,,,,,,,,,,,,,,
178,relu,,0.163,3,448,elu,0.276,269,elu,0.231,0.0023,RMSprop,500,0.9995193481445312,,169,,,,,,,,,,,,,,,,,,,,,,
155,relu,,0.096,3,843,elu,0.32,296,elu,0.261,0.0029,RMSprop,479,0.883295086366078,,170,,,,,,,,,,,,,,,,,,,,,,
150,relu,,0.111,3,87,elu,0.254,314,elu,0.274,0.0037,RMSprop,475,0.9854421009302072,,171,,,,,,,,,,,,,,,,,,,,,,
192,relu,,0.031,5,492,leaky_relu,0.42,306,leaky_relu,0.417,0.0051,RMSprop,78,0.999413788318634,,172,0.01,0.23,877.0,selu,0.23600000000000002,496.0,swish,0.402,,,,,,,,,,,,,,
135,relu,,0.079,3,97,elu,0.259,313,elu,0.274,0.0039,RMSprop,504,0.9994841814041138,,173,,,,,,,,,,,,,,,,,,,,,,
151,relu,,0.108,3,55,elu,0.312,331,elu,0.219,0.0034,Adam,481,0.9994372725486755,,174,,,,,,,,,,,,,,,,,,,,,,
164,relu,,0.096,3,70,elu,0.341,215,elu,0.194,0.0029,RMSprop,474,0.9995193481445312,,175,,,,,,,,,,,,,,,,,,,,,,
145,relu,,0.149,3,915,elu,0.281,345,elu,0.23500000000000001,0.003,RMSprop,491,0.9992379546165466,,176,,,,,,,,,,,,,,,,,,,,,,
243,leaky_relu,0.3,0.318,6,746,swish,0.045,196,relu,0.357,0.0006000000000000001,RMSprop,153,0.9993669390678406,,177,,,940.0,selu,0.08,48.0,leaky_relu,0.054,,491.0,tanh,,0.293,,,,,,,0.26,,
148,relu,,0.049,3,189,elu,0.298,284,selu,0.28300000000000003,0.0025,RMSprop,461,0.999413788318634,,178,,,,,,,,,,,,,,,,,,,,,,
160,relu,,0.114,3,131,elu,0.319,266,elu,0.251,0.0038,RMSprop,440,0.999542772769928,,179,,,,,,,,,,,,,,,,,,,,,,
226,leaky_relu,0.16,0.25,6,836,swish,0.081,147,relu,0.454,0.0012000000000000001,RMSprop,137,0.9989213943481445,,180,,,722.0,selu,0.154,273.0,leaky_relu,0.005,,426.0,tanh,,0.20500000000000002,,,,,,,0.16,,
170,relu,,0.081,3,717,elu,0.23600000000000002,306,leaky_relu,0.268,0.0034,RMSprop,506,0.9994958639144897,,181,,0.01,,,,,,,,,,,,,,,,,,,,
256,leaky_relu,0.19,0.312,7,749,swish,0.111,59,relu,0.336,0.0015,RMSprop,39,0.9991324543952942,,182,,,887.0,selu,0.005,105.0,leaky_relu,0.169,,69.0,swish,,0.388,637.0,selu,0.243,,,,0.18000000000000002,,
151,leaky_relu,0.05,0.179,6,844,swish,0.073,404,relu,0.388,0.0027,RMSprop,103,0.9992848634719849,,183,,,1021.0,selu,0.202,220.0,swish,0.493,,684.0,leaky_relu,0.01,0.097,,,,,,,,,
154,relu,,0.138,3,113,elu,0.28500000000000003,337,elu,0.265,0.0026,RMSprop,477,0.9995545148849487,,184,,,,,,,,,,,,,,,,,,,,,,
163,relu,,0.18,3,470,elu,0.252,385,relu,0.246,0.0031,RMSprop,495,0.9994606971740723,,185,,,,,,,,,,,,,,,,,,,,,,
154,relu,,0.128,3,1023,elu,0.28400000000000003,335,elu,0.278,0.0025,RMSprop,477,0.9992027878761292,,186,,,,,,,,,,,,,,,,,,,,,,
133,relu,,0.16,3,984,elu,0.368,367,elu,0.20400000000000001,0.0028,RMSprop,454,0.999413788318634,,187,,,,,,,,,,,,,,,,,,,,,,
142,relu,,0.14,3,685,elu,0.265,286,elu,0.265,0.0022,RMSprop,465,0.9994958639144897,,188,,,,,,,,,,,,,,,,,,,,,,
181,relu,,0.17,3,948,swish,0.339,311,elu,0.232,0.005,RMSprop,74,0.9992731213569641,,189,,,,,,,,,,,,,,,,,,,,,,
86,relu,,0.335,5,695,swish,0.163,107,relu,0.259,0.0008,RMSprop,169,0.8438630013302124,,190,,,663.0,selu,0.378,464.0,leaky_relu,0.333,,,,,,,,,,,,0.060000000000000005,,
150,relu,,0.1,3,167,elu,0.259,353,elu,0.261,0.0032,Adam,486,0.9994021058082581,,191,,,,,,,,,,,,,,,,,,,,,,
158,relu,,0.124,3,103,elu,0.3,251,elu,0.28700000000000003,0.0037,RMSprop,470,0.9992965459823608,,192,,,,,,,,,,,,,,,,,,,,,,
84,relu,,0.353,5,553,leaky_relu,0.161,884,tanh,0.262,0.00030000000000000003,RMSprop,222,0.5685679668518534,,193,0.2,,639.0,selu,0.38,516.0,selu,0.357,,,,,,,,,,,,,,
169,relu,,0.149,4,896,elu,0.317,331,elu,0.251,0.0026,RMSprop,499,0.9994606971740723,,194,,,650.0,elu,0.337,,,,,,,,,,,,,,,,,
51,relu,,0.4,4,688,swish,0.222,100,relu,0.23,0.007300000000000001,Adam,174,0.9972448348999023,,195,,,525.0,tanh,0.466,,,,,,,,,,,,,,,,,
79,relu,,0.254,5,644,selu,0.024,46,selu,0.156,0.0025,RMSprop,291,0.9995310306549072,,196,,,280.0,swish,0.295,856.0,relu,0.258,,,,,,,,,,,,,,
175,relu,,0.188,3,138,elu,0.277,295,elu,0.298,0.0014000000000000002,RMSprop,475,0.9994841814041138,,197,,,,,,,,,,,,,,,,,,,,,,
165,swish,,0.139,3,268,elu,0.293,675,elu,0.27,0.0017000000000000001,RMSprop,101,0.9990738034248352,,198,,,,,,,,,,,,,,,,,,,,,,
172,relu,,0.311,3,50,selu,0.31,982,elu,0.241,0.002,RMSprop,486,0.9993551969528198,,199,,,,,,,,,,,,,,,,,,,,,,
